Genbank Accession,Official Symbol,Z-Score,P-value,FDR,Q-value,Fold-change Mutant/Control,Endstage Mean,Endstage STD,Con D130 Mean,Con D130 STD
NM_007585,Anxa2,7.97E+00,3.58E-05,0.004206269,0.045633366,9.243901977,1.87016,0.621258242,0.202312833,0.071732617
NM_001033206,Pwwp2,5.152441796,5.84E-04,0.017428234,0.157122944,9.233995644,0.289825267,0.145488734,0.031386767,0.031367288
NM_013737,Pla2g7,2.92E+00,0.017835011,0.129735337,0.336195737,9.189266307,0.946833667,0.850337869,0.103036917,0.143191458
NM_001177557,,3.24E+00,0.008118163,0.080999723,0.279220018,9.183694515,1.638616,1.239649953,0.178426667,0.43705429
NM_001002011,Lmna,3.92E+00,3.75E-03,0.051389797,0.252010366,9.056538347,0.697976844,0.464977031,0.077068833,0.079700105
NM_147030,Olfr1134,2.01E+00,0.075175307,0.293999954,0.410080201,9.032655929,0.127408472,0.163719991,0.014105317,0.034550828
NM_027878,1200002N14Rik,3.63E+00,0.005763812,0.065220621,0.24929935,8.999673876,1.400030667,1.005228731,0.1555646,0.178849198
NM_001113529,,2.72E+00,0.0255199,0.160115797,0.345580831,8.962928501,4.453505889,4.330245236,0.496880667,0.435600804
NM_028293,,3.050202606,0.014736282,0.115605503,0.326072837,8.962595168,0.203251044,0.174879726,0.0226777,0.025289168
NM_144808,Slc39a14,2.853594613,0.016843532,0.125601168,0.344852399,8.941290629,0.704909,0.614230552,0.0788375,0.193111648
NM_013563,Il2rg,8.91446087,6.04E-06,0.002214311,0.037329968,8.912169372,16.63865333,4.731420575,1.866958833,1.2452439
NM_001077403,Nrp2,1.434502496,0.18700268,0.470191429,0.475900875,8.869202648,1.032843778,1.88435243,0.116452833,0.285250021
NM_181072,Myo1e,7.44E+00,3.94E-05,0.004206269,0.070201163,8.86773771,23.26088889,8.064295586,2.623091667,1.660266926
NM_146634,Olfr1504,2.102637448,0.06415725,0.269245009,0.393178911,8.818114893,0.132826089,0.161831498,0.015062867,0.036896337
NR_015463,,3.350005151,0.006371756,0.069638018,0.276272091,8.774611094,0.240351222,0.1720973,0.027391667,0.067095607
NM_020332,Ank,5.92E+00,3.33E-04,0.012587347,0.095762244,8.747845043,8.699252222,3.889734723,0.994445167,0.289336954
NR_001570,,2.894215298,0.015508444,0.119416551,0.329556781,8.678051113,559.4275233,476.6866656,64.4646495,154.906831
NM_023118,Dab2,7.97E+00,2.20E-05,0.003552313,0.042746708,8.6438265,2.100431111,0.676758727,0.242997833,0.14417838
NM_153553,Npas4,3.584718385,0.00539667,0.062587872,0.289180962,8.557603195,0.264271167,0.186397926,0.030881447,0.047651021
NM_153417,Trpm6,3.84E+00,0.004373149,0.055591783,0.245937457,8.540920713,0.107316811,0.072795145,0.012565017,0.011150587
NM_001103166,Pcbp2,2.33E+00,0.04304779,0.218534139,0.380205368,8.515076903,0.820776778,0.88693227,0.096391,0.236108766
NM_008761,Fxyd5,5.453688598,4.85E-04,0.015753471,0.126549505,8.482770842,21.46193333,10.24154454,2.530061667,1.54177518
NM_013885,Clic4,9.33E+00,8.53E-06,0.002669337,0.045723261,8.452761297,7.870095556,2.187460345,0.931068,0.354693936
NM_008873,Plau,8.508572099,2.37E-05,0.003552313,0.058464876,8.343455297,56.7777,17.49944227,6.805058333,1.677501566
NM_010401,Hal,3.096251092,0.014024116,0.112142558,0.293970647,8.32243121,1.074109756,0.906068352,0.129062017,0.107984835
NM_001044389,Clpx,1.88E+00,0.092662717,0.328521923,0.423112666,8.296521264,0.262248889,0.355925137,0.0316095,0.077427146
NM_133738,Antxr2,4.225488675,0.002710016,0.042004694,0.210606889,8.287305976,0.914767889,0.566891213,0.110381817,0.056477712
NM_017461,1-Sep,1.751335108,0.1138825,0.36557338,0.441810181,8.206775698,0.196955778,0.287389762,0.023999167,0.058785713
NM_032000,Trps1,6.25E+00,1.77E-04,0.008994006,0.103819978,8.197384093,1.949841667,0.805056138,0.23786145,0.132407411
