Genbank Accession,Official Symbol,Z-Score,P-value,FDR,Q-value,Fold-change Mutant/Control,Endstage Mean,Endstage STD,Con D130 Mean,Con D130 STD
NM_001099674,1810022K09Rik,1.146316017,0.272516472,0.564270112,0.524074492,1.299779828,2.779551,1.365580939,2.138478333,0.795819774
NM_177366,Gpr157,1.455853414,0.172174736,0.452378536,0.476527233,1.299777755,1.748380667,0.551165084,1.345138167,0.507726364
NM_001033630,2310061I04Rik,0.600545097,0.558586074,0.783579114,0.604447899,1.299666132,0.917631222,0.793038213,0.7060515,0.570502203
NM_009565,Zbtb7b,1.708979288,0.117480105,0.370880531,0.443592556,1.29949775,0.885780333,0.216198477,0.681632833,0.233360132
NM_001145902,,0.34618618,0.735322742,0.880658182,0.60492432,1.29947249,0.453691111,0.612309341,0.349134833,0.545307072
NM_178377,Commd10,1.029295639,0.33204547,0.616944283,0.538823516,1.29924454,1.375386333,0.466901796,1.058604667,0.650373755
NM_025816,Tax1bp1,2.074467246,0.059164581,0.258625967,0.40757528,1.299235328,10.88927889,3.044696423,8.381298333,1.609228503
NM_178376,Rraga,1.588337072,0.139366309,0.403352406,0.456952729,1.299149175,5.969016667,2.311460116,4.594558333,0.964896536
NM_019570,Rev1,1.629044129,0.128076525,0.387929404,0.456929668,1.299126264,0.919716222,0.282933374,0.707949833,0.219142691
NM_001142681,,0.514829623,0.617052867,0.820064361,0.617870115,1.299067121,0.173362889,0.146214589,0.133451833,0.147669481
NM_028110,Dennd2d,0.546540241,0.594042898,0.805676707,0.612173481,1.299052021,0.214590533,0.22096793,0.1651901,0.128328632
NM_011900,Mpdu1,0.725588583,0.484485004,0.736545719,0.585047002,1.29893243,2.387581556,1.358502726,1.838110667,1.486758018
NM_029091,Klc4,1.217070502,0.245322702,0.536876245,0.507605609,1.298900457,0.722167222,0.311972006,0.5559835,0.216751684
NM_033622,Tnfsf13b,1.313337728,0.213351945,0.501673215,0.493774027,1.29886074,1.698045889,0.770300153,1.307334833,0.368026915
NM_011739,Ywhaq,1.5366819,0.152260509,0.423560453,0.464338273,1.298809636,2.514324444,1.018774118,1.935868333,0.397834285
NM_020582,Atp5j2,1.446694932,0.171677769,0.451425348,0.478822028,1.298799064,10.58471667,4.002406416,8.149618333,2.51391484
NM_027430,Brp44,1.688779544,0.117190093,0.370167735,0.449867542,1.298651691,1.412843,0.395772123,1.087930667,0.343031695
NM_028162,Tbc1d5,2.327939457,0.04125014,0.213511602,0.375897677,1.298536366,8.824141111,2.421750841,6.795451667,0.804153091
NM_027861,0610010K06Rik,1.715660088,0.110447775,0.359188064,0.443666356,1.298447076,1.841874444,0.546106389,1.418521,0.408064489
NM_198246,Yars2,0.927007591,0.379458091,0.657934849,0.554532234,1.298323588,0.846709778,0.322336629,0.6521562,0.441601642
NM_178741,Klhl8,1.252058946,0.233057129,0.523597428,0.504387918,1.298087653,0.2694129,0.109445844,0.207546,0.081631836
NM_027395,Basp1,1.215229832,0.249436365,0.540893126,0.506259216,1.298070093,30.25238889,15.48206712,23.30566667,6.022135239
NM_011936,Fto,1.365161917,0.220347701,0.509815754,0.482394709,1.297864613,1.286665556,0.203738748,0.991371167,0.503050608
NM_026170,Ergic1,1.33182044,0.208474679,0.495739681,0.493428495,1.297854455,3.495318889,1.599630372,2.693151667,0.686132205
NR_030676,,0.670607787,0.514210957,0.756178314,0.593624109,1.297787635,0.594304111,0.48135006,0.457936333,0.30600806
NM_001111023,,1.61660497,0.145799833,0.41374552,0.456929668,1.297761622,6.289298889,1.243153339,4.846266667,1.936609714
NM_173748,Nudcd3,1.753193849,0.107296461,0.353780502,0.438843265,1.297613252,4.193903333,1.49177758,3.232013333,0.567892097
NM_019912,Ube2d2,2.201291622,0.047022979,0.229941979,0.401850415,1.297391718,10.77461333,2.445377652,8.304826667,1.888475651
NM_007842,Dhx9,2.19210286,0.047401324,0.230787142,0.39867751,1.297335504,16.55155556,3.896861382,12.758115,2.800742375
NM_010562,Ilk,1.789418444,0.097300742,0.336758,0.433514479,1.297277786,4.340624444,1.234751478,3.345948333,0.915156678
NM_025666,5730410I19Rik,1.86932099,0.08542391,0.315087649,0.433838842,1.297256948,0.607876444,0.190323666,0.468586,0.095735147
NM_153578,Nipa1,0.786950935,0.454609789,0.717291914,0.575363435,1.297090953,0.333662444,0.135695426,0.25723905,0.210500469
NM_145595,Cbr4,1.786576269,0.099831824,0.341447061,0.433558754,1.296918733,2.130431111,0.553069031,1.642686667,0.493221208
NM_026192,Calcoco1,1.128654926,0.279442675,0.567885524,0.526787446,1.296600166,2.603111111,1.244938273,2.007643667,0.798036284
NM_008146,Golga3,2.465421654,0.03114688,0.180522173,0.378170636,1.296281209,2.232842222,0.560577965,1.722498333,0.218167784
NM_205819,Tlr11,0.86372806,0.405350228,0.679510742,0.5657801,1.296103414,0.124214144,0.065493596,0.0958366,0.060141406
NM_026327,1810048J11Rik,0.986083345,0.34319622,0.626533102,0.545316901,1.295861379,0.379802111,0.185325544,0.293088533,0.153299869
NM_026435,Ufm1,2.98207887,0.011777861,0.10135724,0.322552138,1.29577759,2.825931111,0.435220674,2.180876667,0.3930177
NM_001162418,,0.480120751,0.644240291,0.835245399,0.623290613,1.295513342,0.413549667,0.277155742,0.319216833,0.424746742
NM_146325,Olfr554,0.309097052,0.763465454,0.893691535,0.597233292,1.295327558,0.109235189,0.225450629,0.084330167,0.071184134
NM_011333,Ccl2,1.195031867,0.25349966,0.545614169,0.515472721,1.295009338,12.68385889,5.550561937,9.794415,3.812834827
NM_145387,Athl1,0.839085151,0.41725755,0.688508091,0.570350692,1.294995435,0.204145044,0.118962596,0.157641517,0.094840171
NM_001048177,Jak2,1.688394686,0.115194409,0.367438572,0.449928467,1.294922834,3.38768,1.090684001,2.616125,0.678158217
NM_001166210,,0.566972953,0.580583401,0.797496238,0.608770598,1.2949011,0.022141533,0.022075561,0.017099015,0.012235453
NM_009037,Rcn1,1.015391759,0.330568643,0.615663573,0.539901095,1.294298397,0.828534333,0.492211966,0.640141667,0.2121995
NM_015728,Slc33a1,2.137734696,0.05667553,0.253163696,0.399991093,1.293799374,0.919103,0.181861433,0.710390667,0.187466129
NM_026068,Med31,1.015976014,0.332418639,0.617564011,0.541234739,1.293631043,1.332145889,0.823691733,1.029772667,0.281333358
NM_009939,Cops2,1.464567542,0.170781991,0.44990489,0.47428864,1.29345421,5.34886,1.599491516,4.13533,1.553645159
NM_025527,Srp19,1.373896178,0.194184578,0.479837935,0.480453991,1.293442756,6.960733333,2.416408096,5.381555,2.008546313
NM_001165943,,0.886214642,0.391649857,0.668921957,0.563509123,1.293356578,0.586457667,0.360917861,0.4534385,0.219853517
NM_172454,Panx3,0.471686667,0.64502003,0.835839126,0.624671063,1.293265469,0.050063944,0.054790868,0.038711267,0.038396974
NM_015765,Hspa14,1.118379959,0.285704667,0.574756563,0.527524949,1.293134621,1.724838778,0.921772116,1.333843167,0.408553339
NM_176917,Mettl4,1.147773733,0.272334157,0.564270112,0.5216168,1.293065544,1.035308444,0.512525311,0.800662,0.27503341
NM_133928,Chchd4,0.894438117,0.388323724,0.667203981,0.559308804,1.293054137,0.998559333,0.534044694,0.772248667,0.440430104
NM_016981,Slc9a1,1.24283407,0.251042786,0.542498865,0.503073335,1.292977262,4.191976667,1.03394638,3.242111667,1.670923722
NM_027063,1700013G24Rik,0.236624506,0.817740323,0.92057808,0.584032265,1.29282132,0.039569167,0.066933964,0.030606833,0.074971124
NM_001164169,,1.801953845,0.118807989,0.373235741,0.440447396,1.292797097,7.166926667,0.93028021,5.543736667,2.071626462
NM_133236,Glcci1,1.798111877,0.098181745,0.338008063,0.432357423,1.292741951,0.759001333,0.191783322,0.587125167,0.174071007
NM_007936,Epha4,0.614227703,0.551973045,0.779989111,0.601451937,1.292716952,0.0815287,0.056034213,0.063067712,0.057678559
NM_173038,Tbcel,1.453395907,0.184925095,0.46859552,0.478141522,1.292662678,1.085687778,0.238454866,0.839884833,0.365662086
NR_028432,,1.031259854,0.327009195,0.612492371,0.538573795,1.292330262,2.645443556,1.017799106,2.047033667,1.153115161
NR_027849,,0.226824642,0.824783269,0.923304755,0.581385697,1.292300635,0.126920722,0.239484347,0.098213,0.240571736
NM_177914,Dgkk,0.506249563,0.621532951,0.822095069,0.618943316,1.292247498,0.142532422,0.136716049,0.110298083,0.10892437
NM_011342,Sec22b,2.637643276,0.022459033,0.149009804,0.348966699,1.291934194,6.794376667,1.558304751,5.259073333,0.64341621
NR_028341,,0.332507231,0.749417241,0.887714284,0.601244288,1.291761528,0.574674778,0.462595687,0.444876833,0.87842378
NM_013841,Vps45,0.727957552,0.48858868,0.739373095,0.585047002,1.291542463,0.644494111,0.269623011,0.499011167,0.437238864
NM_009083,Rpl30,0.949209418,0.360042185,0.64209377,0.549787161,1.291516893,3.259310778,1.90337757,2.52363,1.090387647
NM_025315,Med21,1.181936565,0.258559733,0.551824234,0.516493364,1.291110411,0.970127667,0.420150016,0.751390167,0.296335669
NM_170759,Zfp628,0.796517913,0.442358941,0.707238827,0.575214685,1.29100734,0.194420111,0.106626472,0.150595667,0.102877386
NM_025486,Hspc171,1.125594292,0.28263532,0.571245164,0.524654717,1.290976432,0.953785222,0.389934615,0.738809167,0.342774909
NM_011030,P4ha1,2.011367639,0.065504658,0.272673635,0.416533993,1.290882373,5.291163333,1.408075754,4.098873333,0.886856128
NM_009183,St8sia4,1.262764488,0.230937327,0.520937652,0.505243242,1.290873989,0.932089333,0.436773757,0.722060667,0.196982615
NM_023483,1110032A03Rik,1.710504596,0.11445849,0.366516452,0.452309601,1.290836119,2.821193333,0.999747325,2.185555,0.40277562
NM_001011847,Olfr591,0.365710777,0.720463333,0.873535167,0.608875002,1.290462463,0.166551667,0.242128085,0.12906355,0.154799172
NM_183358,Gadd45gip1,0.765831913,0.46107764,0.721583136,0.580082587,1.290412277,0.619388,0.508865066,0.479992333,0.16172681
NM_133788,Icmt,1.671720694,0.135988032,0.398678231,0.454074132,1.290205566,0.852958556,0.151835964,0.661102833,0.252303716
NM_138678,Butr1,0.251687064,0.807455306,0.91614669,0.587881931,1.289642165,0.066323932,0.087867287,0.051428167,0.125972767
NM_001033197,AU015228,0.920064778,0.376565599,0.655216574,0.554100529,1.289441792,0.276340056,0.133304432,0.214309833,0.124199616
NM_010690,,3.36865537,0.007055848,0.073851838,0.29433397,1.28921379,3.661154444,0.684985505,2.839835,0.209435076
NM_027293,Dopey2,1.47482209,0.164507217,0.441661495,0.476465338,1.289116251,0.716546889,0.242064468,0.5558435,0.179377324
NM_007875,Dpagt1,1.200695968,0.252867529,0.544954712,0.50844147,1.289058006,2.372221222,1.150202422,1.840275,0.543769039
NM_019575,Scamp4,1.279559685,0.223140708,0.512700566,0.500713154,1.289000774,1.004779111,0.404627119,0.779502333,0.277182028
NM_152815,Lins2,0.625842731,0.544301608,0.775618593,0.60065,1.288534088,0.088960844,0.060525287,0.06904035,0.060304543
NM_013931,Mapk8ip3,0.358780542,0.726674121,0.876150749,0.607205224,1.288499425,0.416759556,0.490903974,0.323445667,0.495188211
NM_001163742,,0.802639801,0.448408432,0.712670347,0.574174363,1.288481827,0.558808556,0.191733276,0.433695333,0.348250471
NM_017368,Cugbp1,0.844531628,0.41527382,0.686560854,0.568374681,1.288317645,3.444237778,2.411827963,2.673438333,1.058359906
NM_011629,Nr2c1,1.012367287,0.330536591,0.615663573,0.542709375,1.28822648,0.650774444,0.311005355,0.505170833,0.244193985
NM_009023,Rapsn,0.315324389,0.758617794,0.89177939,0.597288433,1.28781666,0.074250722,0.098062449,0.057656283,0.101027232
NM_025474,Mrps14,1.424221792,0.191318738,0.475854218,0.47623167,1.287732696,1.207499222,0.280135752,0.937694,0.403743425
NR_028021,,0.694705984,0.501946995,0.748050337,0.591056907,1.287707694,0.144645844,0.087624094,0.112328167,0.088690315
NM_011731,Slc6a20,0.661678684,0.519810571,0.759397052,0.594864551,1.287645766,0.0752186,0.061672712,0.0584156,0.036518513
NM_011417,Smarca4,0.707942712,0.496762663,0.744260496,0.589548221,1.287475085,1.406051111,0.723010707,1.092099667,0.911865231
NM_011969,Psma7,1.531810714,0.155673333,0.428500334,0.469606234,1.287253186,11.77153778,3.114850814,9.144695,3.343096886
NM_011133,Pole2,0.857234167,0.408916587,0.68200025,0.567726798,1.287186327,0.334139111,0.172202811,0.259588767,0.160029526
NM_008416,Junb,0.772598865,0.454868487,0.717560323,0.577988611,1.28716881,7.388908889,4.366360687,5.740435,3.821689505
NM_053193,Cpsf1,1.301516346,0.228264212,0.518134221,0.49279771,1.287015784,1.129245667,0.287904395,0.877414,0.411549815
NM_133225,Acbd3,1.943282098,0.074191645,0.29215099,0.426048302,1.286866641,9.485266667,2.663142499,7.370823333,1.541190892
NM_177026,,1.567565758,0.146195236,0.414414834,0.45961731,1.286810291,8.852834444,2.348541349,6.879673333,2.414434373
NM_001163556,,0.550190471,0.591898264,0.804772499,0.611367317,1.286690566,27.86202111,28.61176714,21.65401833,14.76926481
NM_178080,Pde4dip,2.199131691,0.047130957,0.230117784,0.40219642,1.286628175,4.268942222,1.083475609,3.31793,0.582631711
NM_027270,Exoc1,1.967029975,0.070952438,0.284851559,0.420387047,1.286581962,1.695064444,0.442551108,1.317494333,0.30083159
NM_172843,Tor1aip2,2.580123551,0.023156612,0.151697403,0.347946661,1.286405766,2.415078889,0.517542031,1.877385,0.286379323
NM_152812,Otud6b,1.404251805,0.187376224,0.470679622,0.47938004,1.286271191,1.014736556,0.312674707,0.788897833,0.300018332
NM_011742,Zfp1,0.654986373,0.524962956,0.76296331,0.595820171,1.286054225,1.409088889,0.979462587,1.095668333,0.85690887
NM_026385,Pllp,0.598904605,0.56135287,0.784632621,0.60492432,1.285852528,0.209104867,0.148874206,0.162619633,0.146187519
NM_178668,E430028B21Rik,1.138024811,0.281801654,0.570373867,0.524002303,1.285777245,0.715433889,0.246334086,0.556421333,0.276925627
NM_001168304,,1.343439615,0.203886066,0.491654701,0.485137717,1.285657481,4.55889,1.961641662,3.54596,0.919553838
NM_028871,Hnrnpr,1.440956873,0.173522432,0.45390183,0.474944441,1.285588661,3.650791111,1.38040099,2.839781667,0.793919084
NM_027873,Ubiad1,1.008195605,0.342523518,0.626085082,0.543600696,1.285496613,0.237027,0.076261785,0.18438555,0.111715153
NM_001164086,,0.440889437,0.667649698,0.846177235,0.620800159,1.28542344,0.052891511,0.051985072,0.04114715,0.049556321
NM_001081092,Taf4a,2.194007721,0.047958499,0.231915613,0.397286078,1.285387098,1.775972222,0.38458093,1.381663333,0.308538165
NM_009260,Spnb2,0.947921423,0.372089223,0.652013779,0.551404416,1.285259905,0.562508778,0.180870664,0.4376615,0.28682734
NM_027244,,0.649980323,0.535158149,0.769839914,0.596713061,1.285232464,0.180158189,0.081964393,0.140175567,0.134999093
NM_028639,Ttc7,1.467719229,0.168011202,0.446625672,0.474493058,1.285209427,1.893865333,0.748856215,1.473585,0.3436835
NM_145758,,0.473848434,0.645181607,0.835840011,0.624476783,1.285137821,0.208337333,0.18189,0.162112833,0.187193695
NM_001160019,,0.839170694,0.423865282,0.693391457,0.570350692,1.285054295,13.25759889,10.29139891,10.31676167,1.754622244
NM_146150,Nrd1,2.048676522,0.070981687,0.284895594,0.402173344,1.284935549,16.84858889,5.313947376,13.1124,1.063070754
NM_145965,,0.683518484,0.512219697,0.755145901,0.592252351,1.284858208,1.138621,0.574568376,0.886184167,0.773496162
NM_001093766,Myadm,0.339765979,0.739461409,0.883133948,0.603227294,1.284747288,1.662218889,2.570800601,1.29381,1.62734535
NM_001081177,Kif13b,1.838944579,0.089137939,0.322398416,0.432821519,1.28465762,2.310341111,0.682539238,1.79841,0.392950033
NM_177145,Pde4dip,0.597292558,0.561411392,0.784632621,0.605021639,1.284597607,0.511057889,0.391989437,0.397835,0.336394473
NM_145147,Gtpbp6,0.349844387,0.732100723,0.878947408,0.605661343,1.28458246,0.127707964,0.183602068,0.099415933,0.129487123
NM_001163689,,1.088171992,0.303290087,0.591808689,0.532354534,1.284092872,1.362219222,0.471068082,1.060841667,0.558834926
NM_011622,Tom1,1.283402896,0.225411371,0.515454448,0.496508569,1.283893226,0.514165,0.171499989,0.400473333,0.165761353
NM_145600,Zfp330,1.800339885,0.097572337,0.33740068,0.433260067,1.28375775,3.286732222,0.816357144,2.560243333,0.729876713
NM_134438,Gpr37l1,0.505596254,0.621921328,0.822444628,0.61930585,1.283735437,0.0422693,0.039991776,0.0329268,0.031343761
NM_001167799,,0.855587209,0.410729496,0.683121658,0.567756344,1.283692727,1.064811778,0.520909412,0.829491167,0.522478612
NM_001085412,RP23-451D4.8,0.236772728,0.818017501,0.920686448,0.584922961,1.283625653,0.033821824,0.052129618,0.026348667,0.064540789
NM_008179,Gspt2,0.605694757,0.562253489,0.784697826,0.602289013,1.283597988,0.159970389,0.079930578,0.12462655,0.127164703
NM_011062,Pdpk1,2.09002124,0.060374534,0.261589413,0.408799316,1.283547949,2.820051111,0.576219922,2.197075,0.558325508
NM_001031667,Gsk3a,1.552360849,0.144673041,0.411747507,0.462095017,1.283372682,1.534838222,0.526798232,1.195941167,0.317720905
NM_028288,Cul4b,0.839878229,0.419051871,0.689962643,0.570032809,1.283240229,1.604091778,0.800414163,1.250032333,0.799481535
NM_021530,Slc4a8,0.817688741,0.43038252,0.69768167,0.572842411,1.283107185,0.099575811,0.052806851,0.077605217,0.04972587
NM_028026,,1.054212293,0.314700144,0.601739368,0.536586505,1.283058407,1.340391444,0.531344651,1.044684667,0.532789021
NM_145549,BC020077,0.820270333,0.438292628,0.703785295,0.572268992,1.282604432,0.421473222,0.144196486,0.328607333,0.251082421
NM_134006,Rdh5,0.361299626,0.724437801,0.875357662,0.607940145,1.282521888,0.046187311,0.055928903,0.036012883,0.051698816
NM_178623,2010005J08Rik,1.089451362,0.301232058,0.590009002,0.530525551,1.282482851,0.292826744,0.166164348,0.228328,0.051214079
NM_021556,Mrps30,1.003137305,0.341340398,0.625028716,0.541753278,1.28243283,0.623677222,0.22686695,0.4863235,0.279601372
NM_026006,,1.101227198,0.291529183,0.580320928,0.527524949,1.282338834,0.484480756,0.209447082,0.37781025,0.16447408
NM_027249,2010305C02Rik,0.491557479,0.631435124,0.827737775,0.621212634,1.282203683,0.082652089,0.081384711,0.064460967,0.061656388
NM_019754,Tagln3,0.45892546,0.654568873,0.840248405,0.625022909,1.282143382,0.697806322,0.87771395,0.544249833,0.39768753
NM_019490,Uso1,1.845753534,0.087956156,0.320429334,0.424937127,1.28214296,4.968987778,1.350938379,3.875533333,0.942895875
NM_139150,Carf,1.082930444,0.298796377,0.588195218,0.532626946,1.282095426,0.454345344,0.227353967,0.354377167,0.129111837
NM_015822,Fbxl3,2.596093888,0.022175099,0.147691844,0.362329457,1.28180687,9.376376667,1.854372697,7.314968333,1.22088228
NM_001085417,Zfp467,0.357720203,0.726472097,0.876128077,0.60698953,1.281483749,0.365582111,0.564134175,0.285280333,0.300313724
NM_019827,Gsk3b,2.180612957,0.048283546,0.23277261,0.388178398,1.281443662,21.57622222,5.257528482,16.83743333,3.147638304
NM_172161,Irak2,0.758083799,0.462755719,0.721782213,0.580990369,1.281441532,1.181521556,0.7214605,0.922025333,0.596686398
NM_054082,Mta3,1.004858582,0.333315699,0.618486274,0.542644342,1.281436032,1.679298,0.872766499,1.310481333,0.548148593
NM_008898,Por,1.459991465,0.168034647,0.446625672,0.477746534,1.281247481,1.647759,0.584472813,1.286058333,0.374855325
NM_018818,Chm,1.757419576,0.116289659,0.368818546,0.437992989,1.28105384,1.003760556,0.183795576,0.783542833,0.267752054
NM_134020,Tmed4,1.546554435,0.147100756,0.415586778,0.465267209,1.280988302,3.143538889,1.136791241,2.453995,0.575506172
NM_030035,,2.286117491,0.041751801,0.214710831,0.380137786,1.280528014,5.825384444,1.477148935,4.549205,0.64426597
NM_010590,Jub,0.469169737,0.651628667,0.838789916,0.625022909,1.280445398,0.061374522,0.040707435,0.047932167,0.061811615
NM_001163747,,0.252964804,0.804323401,0.914724183,0.587598405,1.280444615,0.176556667,0.339913674,0.137887,0.251356671
NM_001039088,Seh1l,0.714390027,0.488300398,0.7392813,0.588120614,1.280197733,10.03041111,7.874643162,7.835048333,3.914351839
NR_027828,,3.089316447,0.010700902,0.095957165,0.321799701,1.28018386,1.71378,0.33489386,1.338698333,0.116947518
NM_015740,Bloc1s1,0.776728642,0.452552266,0.716400575,0.576194039,1.280063218,2.572002222,1.479565503,2.0092775,1.299931621
NM_183315,Ctxn1,0.44598615,0.663863951,0.844223895,0.621987284,1.280039454,0.336694644,0.329385279,0.263034583,0.302227682
NM_029067,,0.3196938,0.75471077,0.890331341,0.597725905,1.279843562,0.018594911,0.026234004,0.01452905,0.022620071
NM_025848,Sdhd,1.252363694,0.234260758,0.525112773,0.502184797,1.279833723,4.331876667,1.565876509,3.384718333,1.340619489
NM_177214,Ascc3l1,2.780740473,0.015973068,0.121316806,0.334363945,1.279797232,4.01588,0.689579197,3.137903333,0.530205602
NM_001080390,Mark2,1.364466453,0.19598229,0.482430487,0.481381351,1.279765833,3.730163333,1.329882509,2.914723333,0.981773592
NM_008839,Pik3ca,1.891544746,0.083168855,0.310377478,0.422592994,1.279717082,1.68218,0.509889209,1.314493667,0.231055265
NM_007527,Bax,0.580099455,0.580820569,0.797611118,0.607581398,1.279662981,4.365205556,1.869984391,3.411215,3.727684551
NM_019400,Rabep1,1.952845031,0.072729137,0.289152152,0.425100336,1.279533171,2.846278889,0.758375385,2.224466667,0.474237066
NM_001145877,,0.591884962,0.566185918,0.786944398,0.60666557,1.279143791,0.680914889,0.471438849,0.532320833,0.479576572
NM_013855,Abca3,0.343662237,0.737771212,0.882437785,0.604923921,1.279070947,0.338930778,0.40239065,0.264982,0.412147582
NM_177601,Tmem60,1.38523933,0.189871274,0.47376622,0.47959535,1.278771829,4.929505556,1.706558874,3.854875,1.29204317
NM_008618,Mdh1,1.170609605,0.263127983,0.556289601,0.515378461,1.278767153,7.755241111,3.572274825,6.064623333,2.001798303
NM_030711,Arts1,1.872515051,0.085152175,0.314626991,0.432376784,1.278468011,3.29422,0.98488348,2.576693333,0.484084678
NM_001099319,Zmym6,1.577486096,0.152680528,0.423855722,0.46254364,1.278458734,1.210917333,0.245500988,0.947169667,0.357133538
NM_026164,Pnpla8,1.296473457,0.219137172,0.508245393,0.499004377,1.278224221,1.789854556,0.622608831,1.4002665,0.532322733
NM_023210,Anp32e,1.713821505,0.112638944,0.363098878,0.447720702,1.277851297,9.300497778,3.104500321,7.278231667,1.388798418
NM_001111121,,2.146628522,0.056344825,0.252482488,0.406195851,1.27781315,2.889978889,0.813458731,2.26166,0.269995396
NM_016681,Chek2,0.651923686,0.527970672,0.764794397,0.59612776,1.277792508,1.073057778,0.977767721,0.839774667,0.361849894
NM_139143,Slc39a6,2.112555941,0.05488508,0.248682873,0.393453688,1.277779309,3.55534,0.816759006,2.782436667,0.598663988
NM_001085408,Sdccag3,0.731872137,0.480380518,0.734137122,0.585047002,1.277574686,1.156021333,0.62913015,0.904856167,0.665411514
NM_173863,Crtc3,1.176930214,0.260346818,0.554076902,0.51249011,1.277448119,0.408962667,0.175234829,0.320140333,0.117057143
NM_198010,Ankrd17,1.990278052,0.073426514,0.290076607,0.407672829,1.277390562,8.886591111,1.777699185,6.956831667,1.879854414
NM_001081471,ENSMUSG00000058057,0.635662416,0.538227283,0.771477256,0.59812681,1.27714477,0.079390022,0.051169771,0.062162117,0.051591087
NM_009509,Vil1,0.627956526,0.543506297,0.775264691,0.599567122,1.276996328,0.050977544,0.032361969,0.039919883,0.034091857
NM_013711,Txnrd2,0.826746967,0.425391333,0.693848657,0.572045983,1.276920402,0.152025333,0.078554542,0.119056233,0.073672931
NM_001167861,,0.406439656,0.691150781,0.858540513,0.614951528,1.27663349,0.076696289,0.090934966,0.060076983,0.067224694
NM_023868,Ryr2,0.592256771,0.56449241,0.786203236,0.60666557,1.276545907,0.2125967,0.200656539,0.166540583,0.097165778
NM_019634,Tspan7,1.484986003,0.16153001,0.436828944,0.471441426,1.276541051,27.40091111,9.692093727,21.46496667,5.765961277
NM_177139,Lypd6,0.514015641,0.615999483,0.819282467,0.617922468,1.276303969,0.225574389,0.212243397,0.176740333,0.155319647
NM_194339,Bms1,1.788858681,0.098437994,0.338441679,0.436820445,1.276293246,4.085618889,1.274557094,3.20116,0.619473462
NM_146934,Olfr46,0.379433482,0.710914314,0.868251178,0.610838468,1.275987605,0.127889367,0.152583566,0.10022775,0.127935172
NM_021383,Rqcd1,1.467957824,0.167489039,0.446018796,0.478043641,1.275743438,1.814753333,0.559990536,1.4225065,0.468331093
NM_031248,Mapbpip,1.25840297,0.231075111,0.521097614,0.502208294,1.275199798,7.623484444,2.850116703,5.978266667,2.200022127
NM_172734,Stk38l,1.089702349,0.29622469,0.585202408,0.529205457,1.275037157,1.174343222,0.507834289,0.921026667,0.390264776
NM_001159510,,0.683547227,0.516882877,0.757463059,0.592252351,1.274953919,3.028384444,1.111948637,2.375289333,2.157086054
NM_001134494,,0.783119901,0.450097455,0.71411675,0.576912304,1.274902463,0.460844667,0.243024167,0.36147445,0.239233901
NM_027434,2610304G08Rik,2.297489694,0.039098436,0.207346692,0.375897677,1.274838672,0.799599,0.184668239,0.627215833,0.105086085
NM_178070,Vps33b,1.594997049,0.137630742,0.401169602,0.45961731,1.274800837,1.831693333,0.495323816,1.436846667,0.451809487
NM_177216,Cyb5r2,0.458949915,0.654102417,0.839995564,0.625089607,1.274765739,0.207939511,0.245968501,0.163119783,0.129953113
NM_173864,C1s,0.48276839,0.637842448,0.831700221,0.622992568,1.274740342,0.028774578,0.026883958,0.022572893,0.022545513
NM_001083938,Rnaset2a,2.165994222,0.052457247,0.243027999,0.395480715,1.274734948,20.82124444,5.567351475,16.33378333,2.256103956
NM_001146073,,0.4498887,0.660368671,0.84324832,0.622636266,1.274586308,0.1821872,0.217259255,0.1429383,0.119157887
NM_028181,Ccpg1,1.142630094,0.273907762,0.564270112,0.521615354,1.274581046,3.867006667,1.665531167,3.033943333,1.157572907
NM_178854,Cnot6l,1.5179627,0.163130505,0.439707527,0.467034185,1.274247339,4.995327778,2.056150296,3.920218333,0.437349855
NM_007952,Pdia3,1.623036998,0.128570307,0.388406485,0.461951389,1.274197344,53.75568889,16.78935583,42.18788333,10.81042577
NM_178633,Klhl2,2.206779572,0.046000935,0.227304316,0.39791659,1.27413587,1.51467,0.35616705,1.188782167,0.215125053
NR_027510,,0.266842449,0.794344749,0.910150192,0.591412646,1.274134337,0.456321444,0.727908838,0.358142333,0.677493099
NM_029886,,0.569074031,0.586253887,0.800908733,0.608410583,1.274026085,0.350645889,0.172973527,0.275226617,0.292298375
NM_001013770,AI747699,1.306162884,0.216529713,0.505839169,0.491438238,1.273918678,1.403578333,0.467731473,1.101780167,0.417702915
NM_019648,Metap2,2.388673862,0.032880754,0.186591779,0.379218727,1.273902227,3.503874444,0.718597279,2.750505,0.502572659
NM_170778,Dpyd,0.368824215,0.718310178,0.872565516,0.609270854,1.273719399,0.0783641,0.113232225,0.061523833,0.062936123
NM_172761,Mthfsd,0.472355024,0.646720427,0.836373567,0.624561204,1.273649268,0.060029722,0.048760249,0.047132067,0.05374326
NM_172512,Gabpb2,1.258641544,0.240874593,0.532108703,0.505243242,1.273622756,1.958154444,0.524405066,1.537468167,0.697823675
NM_001167910,,0.951100574,0.375719018,0.654778657,0.549006298,1.273539702,1.256764,0.302974724,0.9868275,0.64969958
NM_001005859,Rpl34,0.622995665,0.544415568,0.77571006,0.60096545,1.273235738,2.164380222,1.876860251,1.699905333,0.99331397
NM_173750,2700007P21Rik,0.641989356,0.532072202,0.767383423,0.597156762,1.273203734,1.576334444,1.212304921,1.238085,0.828135017
