"genes","Freq","Arf1_IFNg_KO.h5","Arf1_KO.h5","IFNg_KO.h5","WT.h5","regulation","Arf1.vs.all"
"Slc15a3",1,0.615802991388427,0.759989587400755,0.69542715349167,0.569207294921165,"up-regulated","up-regulated"
"Slc16a1",1,0.0504607946819761,0.035793309904985,0.0483516483516484,0.047082758119596,"down-regulated","down-regulated"
"Slc1a2",1,0.0438888049554313,0.0147077964336848,0.0240340304856434,0.0491171982852576,"down-regulated","down-regulated"
"Slc1a3",1,0.377700558996827,0.311597032409215,0.480397022332506,0.314393664172055,"down-regulated","down-regulated"
"Slc35b2",1,0.301933826862064,0.262397500976181,0.305281814959234,0.30683717212817,"down-regulated","down-regulated"
"Slc37a2",1,0.242634839099562,0.172979304959,0.242821694434598,0.240863183898859,"down-regulated","down-regulated"
"Slc4a4",1,0.0172231454902553,0.00989196928283223,0.0127614321162708,0.0400348761171256,"down-regulated","down-regulated"
"Slc7a11",1,0.0357304728810999,0.0688533125081348,0.0211981566820276,0.0597253505776357,"up-regulated","up-regulated"
"Slfn2",1,0.115878531500227,0.190680723675648,0.0733073378234669,0.114291942163772,"up-regulated","up-regulated"
"Smarca2",1,0.151835624716725,0.126122608356111,0.14959234314073,0.164716994841241,"down-regulated","down-regulated"
"Smpdl3a",1,0.117615954071612,0.096186385526487,0.10272952853598,0.0990336409213108,"down-regulated","down-regulated"
"Snhg12",1,0.160975978244448,0.220616946505271,0.157887274016306,0.153236939620722,"up-regulated","up-regulated"
"Snn",1,0.187490557486025,0.120135363790186,0.194328252392769,0.174816537092204,"down-regulated","down-regulated"
"Snx29",1,0.232210303671249,0.173890407392945,0.220205600850762,0.229455787255686,"down-regulated","down-regulated"
"Socs3",1,0.494410031726847,0.78380840817389,0.653598014888337,0.58853447649495,"up-regulated","up-regulated"
"Son",1,1.12041093820819,1.14981127163868,1.13938319744771,1.25975441400857,"down-regulated","notAll"
"Sox5",1,0.003928085813567,0.00351425224521671,0.00418291386033322,0.00741117488919567,"down-regulated","down-regulated"
"Sparcl1",1,0.162486780480435,0.129767018091891,0.180786954980503,0.199665770544213,"down-regulated","down-regulated"
"Specc1",1,0.312131741954978,0.228166080957959,0.280467919177597,0.299353338661629,"down-regulated","down-regulated"
"Spint2",1,0.0209246109684242,0.0480281140179617,0.0331797235023042,0.0183826200682991,"up-regulated","up-regulated"
"Sqstm1",1,0.348013295059677,0.568267603800599,0.369088975540588,0.413209329361331,"up-regulated","up-regulated"
"Srebf1",1,0.0405650400362593,0.0434726018482364,0.0453030840127614,0.049625808326673,"down-regulated","notAll"
"Srsf9",1,0.424535428312434,0.360275933879995,0.448068060971287,0.402528518491608,"down-regulated","down-regulated"
"St3gal6",1,0.619428916754797,0.578419888064558,0.635164835164835,0.665407251326019,"down-regulated","down-regulated"
"Stard9",1,0.1785768242937,0.142522452167122,0.182913860333215,0.182300370558744,"down-regulated","down-regulated"
"Stk10",1,0.104849675177519,0.0895483535077444,0.0987593052109181,0.132238610768001,"down-regulated","down-regulated"
"Syngr1",1,0.767940776552349,0.911102433945074,0.620701878766395,0.78485795248129,"up-regulated","up-regulated"
"Syt11",1,0.0697990633026137,0.0740596121306781,0.0559376107763205,0.0874809271234469,"down-regulated","notAll"
"Syt7",1,0.00105756156519112,0.00403488220747104,0.000567174760723148,0.00152583012424617,"up-regulated","up-regulated"
"Tacc1",1,0.775948028403082,0.701028244175452,0.689684509039348,0.773087262951391,"down-regulated","notAll"
"Tagln2",1,0.208490708566249,0.262657815957308,0.195604395604396,0.22262588098525,"up-regulated","up-regulated"
"Tapbp",1,0.471068137180843,0.396850188728361,0.453030840127614,0.461018673254378,"down-regulated","down-regulated"
"Tcf4",1,0.560205469104094,0.483535077443707,0.525062034739454,0.551187967739592,"down-regulated","down-regulated"
"Tcim",1,0.225411693609307,0.229467655863595,0.292449485997873,0.140884981472063,"up-regulated","notAll"
"Tcirg1",1,0.376038676537241,0.319016009371339,0.419567529244949,0.350504977112548,"down-regulated","down-regulated"
"Tet3",1,0.215138238404593,0.161134973317714,0.186954980503368,0.199593111966868,"down-regulated","down-regulated"
"Tgfb1",1,0.930200936697386,0.801379669399974,0.888550159517902,0.916733270362566,"down-regulated","down-regulated"
"Tgfbr2",1,0.36667170267412,0.354549004295197,0.296632399858206,0.4055801787401,"down-regulated","notAll"
"Timp3",1,0.0583169663091101,0.0846023688663283,0.0830202056008508,0.0717866744169149,"up-regulated","up-regulated"
