gene	Arf1_WT.signed.value	ALS.signed.value
0610009B22Rik	-0.0266246224416177	2.05384953145819
0610009O20Rik	-0.0713541210653502	-1.36447776918965
0610010F05Rik	0.00225850917169074	0.445273838474408
0610010K14Rik	-0.00612589234192325	0.0575869250798388
0610037L13Rik	-0.00363339836147359	-1.5158540873441
0610040J01Rik	-0.494974992579261	-1.14109675591812
1110004E09Rik	-0.00343766170175031	-0.029097094534825
1110004F10Rik	-0.0270820287084213	-0.237121188457267
1110008F13Rik	0.0494138502663323	0.541230908978908
1110012L19Rik	0.000216862767725279	2.76324784944921
1110032A03Rik	-0.00860179360655265	0.346705445613763
1110038F14Rik	-0.000806517306622935	-0.0608001123760659
1110051M20Rik	-0.00659461932572938	-0.0262813079719543
1110059E24Rik	-0.0648362052303441	0.0726632403529877
1110059G10Rik	-0.0111040603615315	0.384161952163943
1190002N15Rik	-0.000434110331239252	1.46888480257059
1600012H06Rik	-0.00101901078263	-0.0515722881976238
1600014C10Rik	0.122124469162918	1.8746354780213
1700010I14Rik	0.000317421925644867	-0.000304729144871762
1700021F05Rik	0.00577232666493095	-0.0819730960265
1700022I11Rik	7.58247106568173e-07	-0.970490389818871
1700025G04Rik	-0.0104586632625293	0.0257006807346769
1700029J07Rik	-0.00574815106475258	-1.2463098978511
1700030J22Rik	-0.000216081024826616	0.643526665087118
1700030K09Rik	-0.00663736184594877	-1.71199198793251
1700037C18Rik	-0.0161140729149138	-1.14821726063916
1700037H04Rik	7.40879072802157e-05	2.12568721246507
1700065D16Rik	-0.00331628788034473	-0.308970589088236
1700102P08Rik	-8.67098397914012e-05	-1.74534983130819
1700109H08Rik	0.00134645361114341	-0.12049061845099
1700123O20Rik	-0.00347097814767412	0.0629770197184279
1810009A15Rik	7.36398803533572e-08	0.0367296281874492
1810013L24Rik	-0.00833757906307744	-0.0348912839153141
1810022K09Rik	-0.00769086796523348	0.213572436293115
1810030O07Rik	-0.019087542327357	0.856371624651786
1810043G02Rik	0.0928865588632728	0.040701836429945
1810055G02Rik	0.000464645665509597	0.194396310805614
2010107E04Rik	0.0476728672476247	1.80286558467077
2010111I01Rik	0.0937938472688511	5.58353734966521
2210016L21Rik	-0.00153699300596921	-0.03096318285191
2310009B15Rik	0.00408047713137546	-0.191576264457173
2310011J03Rik	-0.0115835705183061	0.0207792170180309
2310022A10Rik	-0.0108775429506716	0.0282319807512131
2310022B05Rik	-0.0681760324427584	0.0740682533323444
2310033P09Rik	-1.71848795649155	-0.217349490200459
2310035C23Rik	-0.0450813606134903	-0.397249514614086
2310039H08Rik	0.00117447179943392	0.0980810554365062
2310057M21Rik	-0.000719379657353547	0.475559284307402
2310061I04Rik	0.00218955914707531	0.0956356162147073
2410004B18Rik	-0.00308895905953417	-0.00365914811408366
2410015M20Rik	0.3617006177141	4.27920243056335
2410131K14Rik	0.00372606769037304	0.184363233922621
2510002D24Rik	-0.00747303292702051	0.148396913448346
2510009E07Rik	-0.000275752281960688	2.76504539790115
2510039O18Rik	-0.0205618183266332	0.295200890024917
2610002M06Rik	0.000412819003728543	-0.354002575975844
2610008E11Rik	-0.0104143568326765	-0.250585901226617
2610301B20Rik	-0.000310583474168247	-0.169958712151805
2610318N02Rik	0.00106436916367072	0.0520255224206057
2610507B11Rik	-0.0383269677744797	1.31923848548666
2610524H06Rik	0.00515409230580386	5.08321383656634
2700062C07Rik	-0.000937729503992932	-0.235510516635291
2700081O15Rik	-0.00392285390847152	-0.0386394406284954
2700097O09Rik	-0.0011938378350734	0.0131753024194607
2810004N23Rik	-0.00715932387262686	0.148029839848917
2810006K23Rik	-0.128117420073404	0.0922193661931437
2810021J22Rik	-0.000938842739705745	-2.06634290592868
2810403A07Rik	0.000140582366879573	-0.00580266003046767
2810474O19Rik	-0.0126435955935239	-0.00291573915462611
2900026A02Rik	-0.0226298637535739	2.38633623845638
3110002H16Rik	0.000142548547210524	-0.122816560957551
3110009E18Rik	-0.00112816468934172	3.21822070613203
3110040N11Rik	-0.00174152907194175	-0.494564663704527
3110043O21Rik	-0.00215883833723423	2.95482909978074
3110062M04Rik	-0.0217605426002797	-0.10042612327713
3110082I17Rik	0.0324606746936768	0.862420407636594
3300002I08Rik	-0.000170321005904358	-0.700801295618961
3830403N18Rik	-0.00188604420142063	2.61236648502823
3830406C13Rik	-0.00177197713683246	0.0162701805954936
3830406C13Rik	-0.00177197713683246	0.908418927830513
4430402I18Rik	-0.00257152628963453	-1.95076186040512
4833439L19Rik	-0.165105458878798	2.74277823750664
4921507P07Rik	7.58247106652551e-07	-1.8716495142391
