p_val	avg_logFC	pct.1	pct.2	p_val_adj
Gh	0	2.65118970829393	0.962	0.001	4.94065645841247e-324
Xist	0	1.6040099480816	0.803	0.01	4.94065645841247e-324
Prl	0	1.35912580492555	0.886	0	4.94065645841247e-324
Ttr	0	0.792242548198284	0.998	0.935	4.94065645841247e-324
Ubc	0	0.783227704062172	0.889	0.688	4.94065645841247e-324
Rpl21	0	0.581844619898579	0.915	0.782	4.94065645841247e-324
Apod	0	0.493123138938967	0.505	0.066	4.94065645841247e-324
Rpl29	0	0.465247183346258	0.72	0.512	4.94065645841247e-324
Pomc	0	0.388827370415429	0.251	0.013	4.94065645841247e-324
Ly6e	0	0.375968181895353	0.808	0.671	4.94065645841247e-324
Sh3bgrl3	0	0.325014215605874	0.695	0.556	4.94065645841247e-324
Hexb	0	-0.225142250267963	1	1	4.94065645841247e-324
Malat1	0	-0.234419444531764	0.999	1	4.94065645841247e-324
Hbb-bs	0	-0.309843653713104	0.84	0.986	4.94065645841247e-324
Sparc	0	-0.326443907013909	0.959	0.991	4.94065645841247e-324
Ctsd	0	-0.353453989332021	1	1	4.94065645841247e-324
Gatm	0	-0.408768332310343	0.21	0.585	4.94065645841247e-324
Cst3	0	-0.762132895596055	1	1	4.94065645841247e-324
Gm26825	0	-0.852123768530742	0.105	0.556	4.94065645841247e-324
Rbm3	4.47261976834574e-314	0.292266386377867	0.443	0.231	8.62499996127793e-310
Hexa	8.04989321918457e-297	-0.289531935484687	0.747	0.906	1.55234140838755e-292
Edem2	4.04713454780258e-296	-0.277053741861115	0.29	0.547	7.80449426198249e-292
Atf3	3.60267430665174e-287	0.498109421141044	0.774	0.571	6.94739713294723e-283
H2-K1	4.77364846357921e-263	0.331363534602925	0.741	0.649	9.20550369716614e-259
Igsf8	9.59490735883964e-261	-0.224641754979177	0.155	0.379	1.85028193507864e-256
Rps18	5.32905933283205e-258	0.294265107264834	0.84	0.788	1.02765580174333e-253
