Arf1_IFNg_KO	Arf1_KO	IFNg_KO	WT	cluster
0.331766767564123	0.158515214274335	0.282300462004142	0.2274175561574	1
0.150322871301997	0.312359213095059	0.207238324072684	0.33007959153026	2
0.145416953824948	0.319779462439697	0.211922811853894	0.322880771881461	3
0.294603174603175	0.271746031746032	0.323174603174603	0.11047619047619	4
0.316059379217274	0.37246963562753	0.190823211875843	0.120647773279352	5
0.218799787573022	0.163568773234201	0.31651619755709	0.301115241635688	6
0.260262725779967	0.249589490968801	0.181444991789819	0.308702791461412	7
0.162188099808061	0.326295585412668	0.194817658349328	0.316698656429942	8
0.188118811881188	0.187018701870187	0.317931793179318	0.306930693069307	9
0.253313696612666	0.135493372606775	0.207658321060383	0.403534609720177	10
0.203669724770642	0.321100917431193	0.132110091743119	0.343119266055046	11
0.267148014440433	0.075812274368231	0.328519855595668	0.328519855595668	12
